"Event_ID","ticker","name","fiscal_year","event_year","event_date","confound_dum","confound_type","breach_size","breach_type","event_state","hq_state"
385,"HOG","Harley-Davidson, Inc. (HOG)",2008,2008,"04/04/2008",1,"Investigation",60000,"PORT","Wisconsin","Wisconsin"
386,"WLP","WellPoint",2008,2008,"08/04/2008",1,"M&A",128000,"DISC","Indiana","Indiana"
388,"BC","Brunswick Corp.",2008,2008,"21/04/2008",1,"Other",700,"STAT","Illinois","Illinois"
389,"NUAN","Nuance Communications Inc.",2010,2010,"13/03/2010",1,"M&A",1191,"PORT","Massachusetts","Massachusetts"
390,"STT","State Street Corp, Investors Financial Services",2008,2008,"29/05/2008",1,"M&A",45500,"STAT","Massachusetts","Massachusetts"
393,"DRIV","Digital River Inc.",2010,2010,"04/06/2010",1,"Other",200000,"HACK","Minnesota","Minnesota"
394,"AET","Aetna",2010,2010,"28/05/2010",1,"Earnings",6372,"PHYS","Connecticut","Connecticut"
395,"BMY","Bristol-Myers Squibb",2008,2008,"17/07/2008",1,"Earnings",42000,"PORT","Florida","New York"
396,"CHTR","Charter Communications",2008,2008,"13/08/2008",1,"Earnings",9000,"PORT","South Carolina","Missouri"
398,"ESRX","Express Scripts",2008,2008,"06/11/2008",1,"Earnings",700000,"UNKN","Missouri","Missouri"
399,"SBUX","Starbucks Corp.",2008,2008,"24/11/2008",1,"Earnings",97000,"PORT","Washington","Washington"
400,"LNC","Lincoln Financial Group",2010,2010,"25/05/2010",1,"Other",1286,"DISC","Pennsylvania","Pennsylvania"
401,"PHM","Pulte Homes Las Vegas Division",2008,2008,"25/12/2008",1,"Earnings",16000,"PHYS","Nevada","Nevada"
402,"WFC","Wells Fargo",2010,2010,"25/05/2010",1,"Other",1023,"INSD","California","California"
405,"HPY","Heartland Payment Systems",2009,2009,"20/01/2009",1,"Earnings",130000000,"HACK","New Jersey","New Jersey"
406,"SYMC","Symantec",2009,2009,"31/03/2009",1,"Earnings",200,"INSD","California","California"
407,"AV","Aviva",2009,2009,"03/06/2009",1,"M&A",550,"HACK","New Hampshire","London"
408,"AMR","AMR Corporation",2010,2010,"02/07/2010",1,"Earnings",79000,"STAT","Texas","Texas"
410,"LNC","Lincoln National Life Insurance",2010,2010,"21/07/2010",1,"Other",26840,"DISC","Pennsylvania","Pennsylvania"
412,"HUM","Humana Inc, Matrix Imaging",2010,2010,"18/08/2010",1,"Earnings",2631,"PHYS","Kentucky","Kentucky"
413,"HSB","HSBC Bank Nevada",2010,2010,"09/08/2010",1,"Investigation",14,"UNKN","New York","New York"
414,"JLL","Jones Lang LaSalle",2010,2010,"09/08/2010",1,"M&A",20,"PORT","Illinois","Illinois"
419,"SEAC","SeaChange International",2009,2010,"08/09/2010",1,"Earnings",1,"INSD","Massachusetts","Massachusetts"
421,"MAR","Marriott International Inc.",2005,2005,"28/12/2005",1,"M&A",206000,"PORT","Florida","Maryland"
422,"FHN","First Horizon Home Loans",2006,2006,"06/03/2006",1,"Earnings",8,"STAT","Oregon","Tennessee"
424,"SHLD","Sears, Roebuck, Company Contractor Compliance",2005,2006,"28/04/2006",1,"Earnings",196,"DISC","Florida","Illinois"
425,"ARMK","ARAMARK Corporation",2006,2006,"06/06/2006",1,"M&A",6028,"PORT","Georgia","Pennsylvania"
426,"GPI","Group 1 Automotive Inc, Weinstein Spira & Company, P.C.",2006,2006,"19/07/2006",1,"Other",14000,"PORT","Texas","Texas"
427,"BEN","Franklin Templeton Investments",2006,2006,"03/08/2006",1,"Earnings",9,"PORT","California","California"
428,"DIS","Disney Worldwide Services, Inc.",2006,2006,"05/09/2006",1,"Earnings",23,"PORT","California","California"
430,"BA","Boeing, Co",2006,2006,"15/11/2006",1,"Earnings",762,"PORT","Illinois","Illinois"
431,"IR","Ingersoll Rand",2006,2006,"06/11/2006",1,"Earnings",1510,"PORT","New Jersey","New York"
432,"XRX","Xerox",2007,2007,"23/01/2007",1,"Investigation",297,"PORT","Oregon","Connecticut"
433,"S","Sprint Nextel",2007,2007,"22/01/2007",1,"Earnings",1608,"PORT","North Carolina","Kansas"
